max_tour,avg_node,avg_fitness,avg_day,avg_time_process,param_score
5,4.0,0.3116666666666667,1.0,0.8647641181945801,0.733583233008647
10,8.0,0.3125,1.0,1.7516767978668213,0.7570617615722403
20,19.0,0.3063449735449736,3.0,3.8688687324523925,0.6277889644722627
30,29.0,0.30094603174603174,4.8,7.647793579101562,0.5069240627649525
40,39.8,0.29980972222222224,7.4,13.081165742874145,0.4539952643101225
50,50.0,0.30051425044091706,9.2,17.851130867004393,0.44990493364786527
60,59.6,0.30203692640692636,10.8,23.81847972869873,0.45838149847538545
70,69.8,0.3021921245421245,13.6,33.692648363113406,0.408518431695283
80,79.2,0.3032830026455026,15.2,42.164603281021115,0.3978566157959518
90,89.2,0.30288487394957986,17.0,53.21286702156067,0.34619422586584075
100,98.0,0.3025738188062749,18.4,62.859988355636595,0.304453035474387
